trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-91.0684727175136,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-199.2073192941381,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-97.55224982379978,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,22,3.1108638232039922,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-99.97604535372761,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,3,-82.22844210827493,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-153.2698530634854,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-38.90116800648613,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-35.94024375296456,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-82.24504271912495,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-120.18076478396523,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-43.01891835580302,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,7.322221993566286,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,19,-39.29010772466479,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,16,-14.864373281550158,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,8,15.43874556315918,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,5,-45.420754389300676,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,14,9.958566297778136,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,13,20.31171988891183,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,11,-23.072910397689498,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,14,11.374148223277043,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,7,19.916589986278716,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,3,32.56232447505544,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,6,-63.513267617262684,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,9,9.102191929941583,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,9,26.702750836359144,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,15.77499240397909,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,15,8.875154211066416,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,5,-18.572600954627966,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,11,23.38843834216835,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
