trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",30,0,-107.22910656137051,"{0: 17, 1: 1, 2: 12, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681397}",20,0,-80.67734011165618,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,20,8.237873903504848,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",25,0,-96.23118302141043,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",30,0,-106.78177562202622,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",20,0,-61.453712818727446,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",20,5,0.5768840925002128,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-54.19401890342193,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.2107957994307797}",20,0,-13.069833581441364,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",25,0,27.899111696766003,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.70866977429126}",30,0,-53.37876437414087,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.960170286650366}",35,0,-152.99708481461755,"{0: 21, 1: 7, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-226.50587213589492,"{0: 6, 1: 1, 2: 9, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",25,0,-147.9188433418956,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,1,-8.540768289895531,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",25,10,-28.989727196827207,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,1,-30.810541875647584,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",25,0,-170.01669232805517,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",30,0,-158.63663921768278,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",25,0,-27.73365879328999,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.47553692799599256}",20,0,-81.64169516644317,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.004425697988050785}",20,8,-21.405846335458122,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.4833047587530059}",30,0,-62.24707879053408,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8438539587324921}",30,0,-207.00915881375627,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",1
25,False,"{'a': 0.5, 'e': 0.9977982791785807}",25,0,-58.2150652781641,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9074467814501962}",20,0,-129.143152603193,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.594920663309892}",30,0,-159.02327288872578,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.1367372182078336}",20,13,16.186004153268268,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.354924266788705}",25,8,21.669591084434824,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7596879128588213}",25,0,-66.4757807854867,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
