trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",30,0,-125.32132140536919,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.25}",20,13,3.0699899827681927,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.8, 'e': 0.1111111111111111}",25,0,-171.95509741015388,"{0: 17, 1: 2, 2: 0, 3: 3, 4: 3}",0
4,False,"{'a': 0.8, 'e': 0.0625}",20,0,-59.47322008600859,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",1
5,False,"{'a': 0.8, 'e': 0.04}",20,0,-78.59847115583835,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.027777777777777776}",25,0,7.361841238452168,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.8, 'e': 0.02040816326530612}",20,6,-40.50224885771429,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
8,False,"{'a': 0.8, 'e': 0.015625}",30,0,-82.76412612760878,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.012345679012345678}",20,0,15.1257347184424,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.01}",30,7,-67.72582344339301,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 2}",1
11,False,"{'a': 0.8, 'e': 0.008264462809917356}",20,0,20.439644219432054,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.006944444444444444}",20,11,8.77097486778919,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.005917159763313609}",20,5,-19.523689361790623,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.8, 'e': 0.00510204081632653}",25,0,-42.75758883183847,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.0044444444444444444}",20,0,3.0015593240067338,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.00390625}",30,12,-75.34206277474777,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.8, 'e': 0.0034602076124567475}",30,3,39.16468877776546,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.0030864197530864196}",25,0,20.14027867361218,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.002770083102493075}",20,0,12.875029015586772,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.0025}",25,0,10.786766440910108,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,14,11.332185713054436,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,2,11.090650214559215,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,6,4.558176172776893,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,7,41.2313967461363,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,7,-6.382057982691161,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,5.301658684138687,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,10,28.681851880833737,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,-22.33104233514075,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,15,19.174957501247988,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,5,21.931702039968435,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
