trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-351.3723568540477,"{0: 14, 1: 0, 2: 6, 3: 5, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-306.6746103104062,"{0: 8, 1: 0, 2: 11, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.47959885544475,"{0: 8, 1: 0, 2: 10, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.5709239232102,"{0: 12, 1: 0, 2: 11, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-300.72115225370544,"{0: 13, 1: 0, 2: 11, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-200.53198771072806,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-180.1463130094557,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-337.46675867756466,"{0: 12, 1: 0, 2: 17, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-334.2227519668984,"{0: 9, 1: 0, 2: 8, 3: 3, 4: 5}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.2738957751033,"{0: 10, 1: 0, 2: 6, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-300.08680317902986,"{0: 14, 1: 0, 2: 9, 3: 3, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.66596642684914,"{0: 9, 1: 0, 2: 8, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.32578416232113,"{0: 7, 1: 0, 2: 9, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-284.4332890822682,"{0: 6, 1: 0, 2: 15, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.81311652135537,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-324.31269846659706,"{0: 5, 1: 0, 2: 7, 3: 3, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.53086001248028,"{0: 8, 1: 0, 2: 8, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-276.2373372830183,"{0: 13, 1: 0, 2: 11, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-342.9016328470526,"{0: 11, 1: 0, 2: 12, 3: 2, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-241.46318398986577,"{0: 7, 1: 0, 2: 9, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-304.27814801930606,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-427.44031270326553,"{0: 9, 1: 0, 2: 11, 3: 4, 4: 6}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-241.5732371652048,"{0: 7, 1: 0, 2: 9, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-364.23120903711873,"{0: 11, 1: 0, 2: 11, 3: 3, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-201.05345943566476,"{0: 8, 1: 0, 2: 7, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-208.20740067987825,"{0: 8, 1: 0, 2: 7, 3: 3, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-295.9865710791607,"{0: 7, 1: 0, 2: 12, 3: 3, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-338.21979654723606,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 7}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-228.11458460689113,"{0: 10, 1: 0, 2: 10, 3: 3, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-297.66837909143925,"{0: 18, 1: 0, 2: 10, 3: 3, 4: 4}",0
